file,algorithm,colors_used,time_ms
g_n100_k2_41.edges,firstfit,3,0.3693
g_n100_k2_41.edges,cbip,3,15.7895
g_n100_k2_41.edges,firstfit_luf,8,0.4501
g_n100_k2_42.edges,firstfit,7,0.4208
g_n100_k2_42.edges,cbip,4,15.2442
g_n100_k2_42.edges,firstfit_luf,4,0.339
g_n100_k2_43.edges,firstfit,6,0.3684
g_n100_k2_43.edges,cbip,4,16.3751
g_n100_k2_43.edges,firstfit_luf,3,0.35
g_n100_k2_44.edges,firstfit,7,0.3569
g_n100_k2_44.edges,cbip,3,15.3775
g_n100_k2_44.edges,firstfit_luf,7,0.3462
g_n100_k2_45.edges,firstfit,6,0.3593
g_n100_k2_45.edges,cbip,3,15.4314
g_n100_k2_45.edges,firstfit_luf,2,0.3462
g_n100_k2_46.edges,firstfit,2,0.361
g_n100_k2_46.edges,cbip,4,16.082
g_n100_k2_46.edges,firstfit_luf,2,0.3409
g_n100_k2_47.edges,firstfit,4,0.3674
g_n100_k2_47.edges,cbip,3,16.0801
g_n100_k2_47.edges,firstfit_luf,2,0.3436
g_n100_k2_48.edges,firstfit,2,0.4056
g_n100_k2_48.edges,cbip,3,15.6651
g_n100_k2_48.edges,firstfit_luf,2,0.3381
g_n100_k2_49.edges,firstfit,2,0.3457
g_n100_k2_49.edges,cbip,4,15.1179
g_n100_k2_49.edges,firstfit_luf,5,0.3395
g_n100_k2_5.edges,firstfit,6,0.3593
g_n100_k2_5.edges,cbip,2,14.9727
g_n100_k2_5.edges,firstfit_luf,3,0.3371
g_n100_k2_6.edges,firstfit,2,0.3579
g_n100_k2_6.edges,cbip,3,16.1312
g_n100_k2_6.edges,firstfit_luf,4,0.3505
g_n100_k2_7.edges,firstfit,3,0.3548
g_n100_k2_7.edges,cbip,2,15.6896
g_n100_k2_7.edges,firstfit_luf,2,0.3397
g_n100_k2_8.edges,firstfit,6,0.3557
g_n100_k2_8.edges,cbip,5,14.9925
g_n100_k2_8.edges,firstfit_luf,2,0.3331
g_n100_k2_9.edges,firstfit,2,0.3495
g_n100_k2_9.edges,cbip,3,15.4476
g_n100_k2_9.edges,firstfit_luf,3,0.3369
g_n100_k3_0.edges,firstfit,9,0.9968
g_n100_k3_0.edges,cbip,3,19.8758
g_n100_k3_0.edges,firstfit_luf,4,0.6175
g_n100_k3_1.edges,firstfit,8,0.4506
g_n100_k3_1.edges,cbip,2,10.8366
g_n100_k3_1.edges,firstfit_luf,7,0.4032
g_n100_k3_10.edges,firstfit,10,0.4311
g_n100_k3_10.edges,cbip,2,12.001
g_n100_k3_10.edges,firstfit_luf,5,0.4334
g_n100_k3_11.edges,firstfit,11,0.4394
g_n100_k3_11.edges,cbip,2,10.9673
g_n100_k3_11.edges,firstfit_luf,6,0.3991
g_n100_k3_12.edges,firstfit,9,0.4833
g_n100_k3_12.edges,cbip,3,16.3758
g_n100_k3_12.edges,firstfit_luf,6,0.4332
g_n100_k3_13.edges,firstfit,8,0.4492
g_n100_k3_13.edges,cbip,2,13.7243
g_n100_k3_13.edges,firstfit_luf,8,0.4368
g_n100_k3_14.edges,firstfit,10,0.5989
g_n100_k3_14.edges,cbip,2,12.9657
g_n100_k3_14.edges,firstfit_luf,9,0.4408
g_n100_k3_15.edges,firstfit,11,0.4578
g_n100_k3_15.edges,cbip,2,12.2371
g_n100_k3_15.edges,firstfit_luf,9,0.4511
g_n100_k3_16.edges,firstfit,9,0.9394
g_n100_k3_16.edges,cbip,2,12.8555
g_n100_k3_16.edges,firstfit_luf,5,0.4132
g_n100_k3_17.edges,firstfit,10,0.5827
g_n100_k3_17.edges,cbip,3,11.6353
g_n100_k3_17.edges,firstfit_luf,6,0.4668
g_n100_k3_18.edges,firstfit,9,0.4508
g_n100_k3_18.edges,cbip,3,11.2617
g_n100_k3_18.edges,firstfit_luf,5,0.3946
g_n100_k3_19.edges,firstfit,7,0.4144
g_n100_k3_19.edges,cbip,2,11.009
g_n100_k3_19.edges,firstfit_luf,8,0.4447
g_n100_k3_2.edges,firstfit,10,0.4344
g_n100_k3_2.edges,cbip,2,11.3254
g_n100_k3_2.edges,firstfit_luf,9,0.4041
g_n100_k3_20.edges,firstfit,6,0.4308
g_n100_k3_20.edges,cbip,2,11.8999
g_n100_k3_20.edges,firstfit_luf,6,0.4122
g_n100_k3_21.edges,firstfit,6,0.4892
g_n100_k3_21.edges,cbip,3,13.7863
g_n100_k3_21.edges,firstfit_luf,4,0.4256
g_n100_k3_22.edges,firstfit,11,0.4604
g_n100_k3_22.edges,cbip,2,13.133
g_n100_k3_22.edges,firstfit_luf,7,0.5109
g_n100_k3_23.edges,firstfit,6,0.4642
g_n100_k3_23.edges,cbip,3,13.8783
g_n100_k3_23.edges,firstfit_luf,9,0.438
g_n100_k3_24.edges,firstfit,6,0.4647
g_n100_k3_24.edges,cbip,2,12.5592
g_n100_k3_24.edges,firstfit_luf,5,0.5102
g_n100_k3_25.edges,firstfit,9,0.4973
g_n100_k3_25.edges,cbip,2,13.0839
g_n100_k3_25.edges,firstfit_luf,6,0.4349
g_n100_k3_26.edges,firstfit,8,0.6483
g_n100_k3_26.edges,cbip,2,12.2523
g_n100_k3_26.edges,firstfit_luf,3,0.5434
g_n100_k3_27.edges,firstfit,11,0.4783
g_n100_k3_27.edges,cbip,2,17.2675
g_n100_k3_27.edges,firstfit_luf,9,0.4308
g_n100_k3_28.edges,firstfit,9,0.4201
g_n100_k3_28.edges,cbip,3,11.3244
g_n100_k3_28.edges,firstfit_luf,9,0.4442
g_n100_k3_29.edges,firstfit,8,0.4616
g_n100_k3_29.edges,cbip,2,11.9724
g_n100_k3_29.edges,firstfit_luf,5,0.4022
g_n100_k3_3.edges,firstfit,9,0.4611
g_n100_k3_3.edges,cbip,2,12.1288
g_n100_k3_3.edges,firstfit_luf,9,0.4089
g_n100_k3_30.edges,firstfit,10,0.4549
g_n100_k3_30.edges,cbip,3,11.0219
g_n100_k3_30.edges,firstfit_luf,8,0.3951
g_n100_k3_31.edges,firstfit,9,0.4225
g_n100_k3_31.edges,cbip,2,11.8573
g_n100_k3_31.edges,firstfit_luf,9,0.4764
g_n100_k3_32.edges,firstfit,7,0.4289
g_n100_k3_32.edges,cbip,2,11.7207
