Algorithm,k,n,N,rho(Alg),SD(rho(Alg)),time_taken
FirstFit_LUF,2,100,100,1.035,0.17684739183827394,0.20212662499397993
FirstFit_LUF,3,100,100,1.1966666666666665,0.3890015709765479,0.2170434994623065
FirstFit_LUF,4,100,100,1.35,0.5916079783099616,0.2445022091269493
FirstFit_LUF,5,100,100,1.3440000000000003,0.5292107330733193,0.27545012533664703
FirstFit_LUF,2,1600,100,1.305,0.999737465537828,52.404499375261366
FirstFit_LUF,3,1600,100,2.086666666666667,2.18053000692747,71.10053620953113
FirstFit_LUF,4,1600,100,2.58,2.9578032388919993,79.89313045796007
FirstFit_LUF,5,1600,100,3.03,3.333391666156259,87.34417520929128
FirstFit_LUF,2,200,100,1.02,0.14,0.6500062504783273
FirstFit_LUF,3,200,100,1.2500000000000002,0.47463436219660476,0.80863624997437
FirstFit_LUF,4,200,100,1.3675,0.6758836808208939,0.9007579172030091
FirstFit_LUF,5,200,100,1.5240000000000002,0.7770611301564376,0.9754350408911705
FirstFit_LUF,2,400,100,1.09,0.39610604640676716,2.4382481668144464
FirstFit_LUF,3,400,100,1.2366666666666668,0.7044225373389974,3.2180083747953176
FirstFit_LUF,4,400,100,1.615,1.141501204554774,3.612453667446971
FirstFit_LUF,5,400,100,1.8360000000000003,1.3024223585304422,3.896739042364061
FirstFit_LUF,2,50,100,1.04,0.16852299546352717,0.046231250278651714
FirstFit_LUF,3,50,100,1.04,0.15114378731672845,0.063701624982059
FirstFit_LUF,4,50,100,1.2175,0.35294298406399865,0.06777420919388533
FirstFit_LUF,5,50,100,1.1620000000000004,0.2678731042863393,0.0726970424875617
FirstFit_LUF,2,800,100,1.37,0.859127464349732,11.791180208325386
FirstFit_LUF,3,800,100,1.603333333333333,1.3909988417600418,16.185582709498703
FirstFit_LUF,4,800,100,1.92,1.70436205073922,18.529632832854986
FirstFit_LUF,5,800,100,2.213999999999998,1.8599473110816875,20.63621887471527
